"Census Profile, 2021 Census of Population",,,
,,,British Columbia [Province]
,,,Counts
Topic,Characteristic,Total,
Income of households in 2020,"  Under $5,000",34265,
Income of households in 2020,"  $5,000 to $9,999",13550,
Income of households in 2020,"  $10,000 to $14,999",19930,
Income of households in 2020,"  $15,000 to $19,999",43390,
Income of households in 2020,"  $20,000 to $24,999",86585,
Income of households in 2020,"  $25,000 to $29,999",72515,
Income of households in 2020,"  $30,000 to $34,999",74810,
Income of households in 2020,"  $35,000 to $39,999",85940,
Income of households in 2020,"  $40,000 to $44,999",85575,
Income of households in 2020,"  $45,000 to $49,999",85000,
Income of households in 2020,"  $50,000 to $59,999",168315,
Income of households in 2020,"  $60,000 to $69,999",160070,
Income of households in 2020,"  $70,000 to $79,999",149385,
Income of households in 2020,"  $80,000 to $89,999",136615,
Income of households in 2020,"  $90,000 to $99,999",121890,
Income of households in 2020,"  $100,000 and over",704010,
Income of households in 2020,"    $100,000 to $124,999",243560,
Income of households in 2020,"    $125,000 to $149,999",167850,
Income of households in 2020,"    $150,000 and over",292600,
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,1364485,
Income of economic families in 2020,  Median total income of economic family in 2020 ($),107000,
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),95000,
Income of economic families in 2020,  Average family size of economic families,3,
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,562590,
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),93000,
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),83000,
Income of economic families in 2020,  Average family size of couple-only economic families,2,
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,561965,
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),138000,
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),120000,
Income of economic families in 2020,  Average family size of couple-with-children economic families,4,
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,188585,
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),70500,
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),65000,
Income of economic families in 2020,  Average family size of one-parent economic families,2.6,
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,878130,
Income of economic families in 2020,  Median total income in 2020 ($),39200,
Income of economic families in 2020,  Median after-tax income in 2020 ($),36000,
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,1363860,
Income of economic families in 2020,  Average total income of economic family in 2020 ($),130400,
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),108900,
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,561775,
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),115100,
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),96000,
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,563000,
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),161800,
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),133800,
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,186930,
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),83400,
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),73100,
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,875470,
Income of economic families in 2020,  Average total income in 2020 ($),50240,
Income of economic families in 2020,  Average after-tax income in 2020 ($),42720,
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,4915940,
Low income and income inequality in 2020,  0 to 17 years,866210,
Low income and income inequality in 2020,    0 to 5 years,264100,
Low income and income inequality in 2020,  18 to 64 years,3085015,
Low income and income inequality in 2020,  65 years and over,964710,
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",528870,
Low income and income inequality in 2020,  0 to 17 years,98830,
Low income and income inequality in 2020,    0 to 5 years,29460,
Low income and income inequality in 2020,  18 to 64 years,297960,
Low income and income inequality in 2020,  65 years and over,132075,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",10.8,
Low income and income inequality in 2020,  0 to 17 years (%),11.4,
Low income and income inequality in 2020,    0 to 5 years (%),11.2,
Low income and income inequality in 2020,  18 to 64 years (%),9.7,
Low income and income inequality in 2020,  65 years and over (%),13.7,
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,4825465,
Low income and income inequality in 2020,  0 to 17 years,848955,
Low income and income inequality in 2020,    0 to 5 years,259060,
Low income and income inequality in 2020,  18 to 64 years,3033655,
Low income and income inequality in 2020,  65 years and over,942860,
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",279035,
Low income and income inequality in 2020,  0 to 17 years,44480,
Low income and income inequality in 2020,    0 to 5 years,11690,
Low income and income inequality in 2020,  18 to 64 years,201000,
Low income and income inequality in 2020,  65 years and over,33555,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",5.8,
Low income and income inequality in 2020,  0 to 17 years (%),5.2,
Low income and income inequality in 2020,    0 to 5 years (%),4.5,
Low income and income inequality in 2020,  18 to 64 years (%),6.6,
Low income and income inequality in 2020,  65 years and over (%),3.6,
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,4915940,
Low income and income inequality in 2020,  In bottom half of the distribution,2300730,
Low income and income inequality in 2020,    In bottom decile,516435,
Low income and income inequality in 2020,    In second decile,444845,
Low income and income inequality in 2020,    In third decile,436965,
Low income and income inequality in 2020,    In fourth decile,442745,
Low income and income inequality in 2020,    In fifth decile,459740,
Low income and income inequality in 2020,  In top half of the distribution,2615210,
Low income and income inequality in 2020,    In sixth decile,475780,
Low income and income inequality in 2020,    In seventh decile,494480,
Low income and income inequality in 2020,    In eighth decile,518565,
Low income and income inequality in 2020,    In ninth decile,550860,
Low income and income inequality in 2020,    In top decile,575535,
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,4915940,
Low income and income inequality in 2020,  Gini index on adjusted household total income,0.346,
Low income and income inequality in 2020,  Gini index on adjusted household market income,0.449,
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,0.306,
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,4,
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,4951660,
Knowledge of official languages,  English only,4461290,
Knowledge of official languages,  French only,1785,
Knowledge of official languages,  English and French,326865,
Knowledge of official languages,  Neither English nor French,161720,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,4951660,
First official language spoken,  English,4718195,
First official language spoken,  French,56495,
First official language spoken,  English and French,18145,
First official language spoken,  Neither English nor French,158820,
Household characteristics,Total - Private households by tenure - 25% sample data,2041835,
Household characteristics,  Owner,1363190,
Household characteristics,  Renter,669450,
Household characteristics,"  Dwelling provided by the local government, First Nation or Indian band",9190,
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,2041835,
Household characteristics,  Condominium,482755,
Household characteristics,  Not condominium,1559075,
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,2041835,
Household characteristics,  No bedrooms,30855,
Household characteristics,  1 bedroom,354020,
Household characteristics,  2 bedrooms,569180,
Household characteristics,  3 bedrooms,539910,
Household characteristics,  4 or more bedrooms,547870,
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,2041835,
Household characteristics,  1 to 4 rooms,766380,
Household characteristics,  5 rooms,300895,
Household characteristics,  6 rooms,248045,
Household characteristics,  7 rooms,205105,
Household characteristics,  8 or more rooms,521410,
Household characteristics,Average number of rooms per dwelling,5.8,
Household characteristics,Total - Private households by number of persons per room - 25% sample data,2041835,
Household characteristics,  One person or fewer per room,1984655,
Household characteristics,  More than one person per room,57180,
Household characteristics,Total - Private households by housing suitability - 25% sample data,2041835,
Household characteristics,  Suitable,1919140,
Household characteristics,  Not suitable,122700,
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,2041835,
Household characteristics,  1960 or before,256175,
Household characteristics,  1961 to 1980,550690,
Household characteristics,  1981 to 1990,289940,
Household characteristics,  1991 to 2000,336315,
Household characteristics,  2001 to 2005,122855,
Household characteristics,  2006 to 2010,164165,
Household characteristics,  2011 to 2015,135725,
Household characteristics,  2016 to 2021,185965,
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,2041835,
Household characteristics,  Only regular maintenance and minor repairs needed,1922640,
Household characteristics,  Major repairs needed,119195,
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,2041835,
Household characteristics,  One-maintainer household,1003245,
Household characteristics,  Two-maintainer household,904960,
Household characteristics,  Three-or-more-maintainer household,133630,
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,2041835,
Household characteristics,  15 to 24 years,57980,
Household characteristics,  25 to 34 years,282195,
Household characteristics,  35 to 44 years,343380,
Household characteristics,  45 to 54 years,354340,
Household characteristics,  55 to 64 years,407735,
Household characteristics,  65 to 74 years,347335,
Household characteristics,  75 to 84 years,182155,
Household characteristics,  85 years and over,66710,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",1988210,
Household characteristics,  Spending less than 30% of income on shelter costs,1481365,
Household characteristics,  Spending 30% or more of income on shelter costs,506850,
Household characteristics,    30% to less than 100%,434390,
Household characteristics,Total - Occupied private dwellings by housing indicators - 25% sample data,2041830,
Household characteristics,  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',683985,
Household characteristics,    Spending 30% or more of income on shelter costs only,451550,
Household characteristics,    Not suitable only,89300,
Household characteristics,    Major repairs needed only,80200,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable',23945,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'major repairs needed',29585,
Household characteristics,    'Not suitable' and 'major repairs needed',7640,
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',1770,
Household characteristics,  Acceptable housing,1357845,
Household characteristics,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",1915755,
Household characteristics,  In core need,257090,
Household characteristics,  Not in core need,1658665,
Household characteristics,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",1330795,
Household characteristics,  % of owner households with a mortgage,57.5,
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,19.3,
Household characteristics,  % in core housing need,8,
Household characteristics,  Median monthly shelter costs for owned dwellings ($),1320,
Household characteristics,  Average monthly shelter costs for owned dwellings ($),1668,
Household characteristics,  Median value of dwellings ($),785000,
Household characteristics,  Average value of dwellings ($),983000,
